ID,SMILES,MW,logP,numAtoms,numRings,numRotBonds,numHDon,numHAcc
DB00117,[NH3+]C(Cc1cnc[nH]1)C(=O)[O-],155.069,-2.687,11,1,3,2,3
DB00119,CC(=O)C(=O)O,88.016,-0.34,6,0,1,1,2
DB00120,[NH3+]C(Cc1ccccc1)C(=O)[O-],165.079,-1.41,12,1,3,1,2
DB00121,O=C(O)CCCCC1SCC2NC(=O)NC21,244.088,0.797,16,2,5,3,3
DB00122,C[N+](C)(C)CCO,104.107,-0.315,7,0,2,1,1
DB00123,NCCCCC(N)C(=O)O,146.106,-0.473,10,0,5,3,3
DB00125,NC(N)=[NH+]CCCC(N)C(=O)[O-],174.112,-4.802,12,0,5,4,3
DB00126,O=C1OC(C(O)CO)C(O)=C1O,176.032,-1.407,12,1,2,4,6
DB00127,NCCCNCCCCNCCCN,202.216,-0.357,14,0,11,4,4
DB00128,NC(CC(=O)O)C(=O)O,133.038,-1.127,9,0,3,3,3
DB00129,NCCCC(N)C(=O)O,132.09,-0.863,9,0,4,3,3
DB00130,NC(=O)CCC([NH3+])C(=O)[O-],146.069,-3.388,10,0,4,2,3
DB00133,NC(CO)C(=O)O,105.043,-1.609,7,0,2,3,3
DB00134,CSCCC(N)C(=O)O,149.051,0.151,9,0,4,2,3
DB00135,NC(Cc1ccc(O)cc1)C(=O)O,181.074,0.347,13,1,3,3,3
DB00138,[NH3+]C(CSSCC([NH3+])C(=O)[O-])C(=O)[O-],240.024,-4.911,14,0,7,2,6
DB00139,O=C(O)CCC(=O)O,118.027,-0.064,8,0,3,2,2
DB00141,CC(=O)NC(C=O)C(O)C(O)C(O)CO,221.09,-3.235,15,0,6,5,6
DB00142,[NH3+]C(CCC(=O)O)C(=O)[O-],147.053,-2.788,10,0,4,2,3
DB00145,[NH3+]CC(=O)[O-],75.032,-3.022,5,0,1,1,2
DB00147,Cc1ncc(CO)c(C=O)c1O,167.058,0.4,12,1,2,2,4
DB00148,CN(CC(=O)[O-])C(=N)[NH3+],131.069,-3.155,9,0,2,2,3
DB00149,CC(C)CC(N)C(=O)O,131.095,0.444,9,0,3,2,2
DB00150,NC(Cc1c[nH]c2ccccc12)C(=O)O,204.09,1.122,15,2,3,3,2
DB00151,[NH3+]C(CS)C(=O)[O-],121.02,-2.723,7,0,2,2,3
DB00152,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,265.112,0.608,18,2,4,2,5
DB00155,NC(=O)NCCCC([NH3+])C(=O)[O-],175.096,-3.205,12,0,5,3,3
DB00156,CC(O)C([NH3+])C(=O)[O-],119.058,-3.272,8,0,2,2,3
DB00160,CC([NH3+])C(=O)[O-],89.048,-2.633,6,0,1,1,2
DB00161,CC(C)C([NH3+])C(=O)[O-],117.079,-1.997,8,0,2,1,2
DB00165,Cc1ncc(CO)c(CO)c1O,169.074,0.08,12,1,2,3,4
DB00167,CCC(C)C(N)C(=O)O,131.095,0.444,9,0,3,2,2
DB00168,COC(=O)C(Cc1ccccc1)NC(=O)C([NH3+])CC(=O)[O-],294.122,-2.363,21,1,7,2,5
DB00170,CC1=CC(=O)c2ccccc2C1=O,172.052,2.012,13,2,0,0,2
DB00172,O=C(O)C1CCCN1,115.063,-0.177,8,1,1,2,2
DB00173,Nc1ncnc2nc[nH]c12,135.054,-0.065,10,2,0,2,4
DB00174,NC(=O)CC(N)C(=O)O,132.053,-1.726,9,0,3,3,3
DB00181,NCC(CC(=O)O)c1ccc(Cl)cc1,213.056,1.857,14,1,4,2,2
DB00182,CC(N)Cc1ccccc1,135.105,1.576,10,1,2,1,1
DB00184,CN1CCCC1c1cccnc1,162.116,1.848,12,2,1,0,2
DB00185,CC1OC2(CS1)CN1CCC2CC1,199.103,1.56,13,4,0,0,3
DB00187,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,295.178,1.53,21,1,9,2,5
DB00189,C#CC(O)(/C=C/Cl)CC,144.034,1.513,9,0,2,1,1
DB00190,CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O,226.095,-0.053,16,1,4,5,5
DB00191,CC(C)(N)Cc1ccccc1,149.12,1.966,11,1,2,1,1
DB00194,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,267.097,-1.98,19,3,2,4,9
DB00196,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,306.104,0.736,22,3,5,1,7
DB00198,CCOC(=O)C1=CC(OC(CC)CC)C(NC(C)=O)C(N)C1,312.205,1.285,22,1,7,2,5
DB00201,Cn1c(=O)c2c(ncn2C)n(C)c1=O,194.08,-1.029,14,2,0,0,6
DB00202,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,290.219,0.265,20,0,9,0,4
DB00211,COc1ccc(OC)c(C(O)CNC(=O)CN)c1,254.127,-0.188,18,1,6,3,5
DB00217,C/N=C(\NC)NCc1ccccc1,177.127,0.981,13,1,2,2,1
DB00221,CCC(NC(C)C)C(O)c1ccc(O)c(O)c1,239.152,1.908,17,1,5,4,4
DB00226,NC(N)=NCC1COC2(CCCCC2)O1,213.148,0.336,15,2,2,2,3
DB00230,CC(C)CC(CN)CC(=O)O,159.126,1.082,11,0,5,2,2
DB00233,Nc1ccc(C(=O)O)c(O)c1,153.043,0.673,11,1,1,3,3
DB00235,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,211.075,1.617,16,2,1,1,3
DB00237,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,212.116,0.795,15,1,3,2,3
DB00241,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,224.116,0.961,16,1,4,2,3
